bid_id,timestamp,log_type,ipinyou_id,user_agent,ip_address,region_id,city_id,ad_exchange,domain,url,anonymous_url_id,ad_slot_id,ad_slot_width,ad_slot_height,ad_slot_visibility,ad_slot,ad_slot_floor_price,creative_id,bidding_price,paying_price,key_page_url,advertiser_id,user_tags
c7654fe86bc7f66d75242d5e12a6aad4,20130606000110312,2,Vh1OPiSeP2kfQGj,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.89 Safari/537.1",49.223.203.*,40,42,1,trqRTvpogNlyDok4JKTI,97dca58e0df8652a255d11ddb5732483,null,mm_10032051_2374052_9577342,950,90,2,1,0,c938195f9e404b4f38c7e71bf50263e5,238,0,a3becb967c015e9acb5e72f22b100ef8,3476,"10006,10063,10076,13403,10075,10110"
82d22846bc757857f11064c60e8a0f3b,20130606000110864,2,Vh111kuiLlaWqG8,"Mozilla/5.0 (Linux; U; Android 4.0.4; zh-cn; 7266 Build/IMM76I) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",110.17.170.*,27,29,1,2h5wl5SvdNmRaqKbu-,2416d8b99be617bafab94750bb21640c,null,mm_14488865_2062466_9285459,300,250,1,1,0,d881a6c788e76c2c27ed1ef04f119544,227,0,d29e59bf0f7f8243858b8183f14d4412,3358,"10006,10063,10024"
6ad8bc340c03cbcf6a5bd1f9d20ce07d,20130606000111403,2,Vhkr1vTlOt56qfn,K-TouchC986t_TD/1.0 Android 4.0.3 Release/10.01.2012 Browser/WAP2.0 appleWebkit/534.30,183.7.247.*,216,221,1,5Sc-GxfIL5scFsf,d4ec344c9a7813ca468c7adc58d5c897,null,mm_29637155_2534111_11214882,336,280,1,1,0,ff5123fb9333ca095034c62fdaaf51aa,300,0,361e128affece850342293213691a043,3386,10063
22bbc00c2db42aa8a60497028845e85f,20130606000119661,2,Vh1DCnKPDvuLqOE,"Mozilla/5.0 (Linux; U; Android 3.2; zh-cn; IdeaTab S2007A-D Build/MASTER) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13",123.144.19.*,275,275,1,trqRTu1uGTdUgNK4wJB,ed15897daa6d9e6e8ae2126e66ee79b6,null,mm_28110653_2418111_9292826,300,250,1,5,0,d881a6c788e76c2c27ed1ef04f119544,227,0,d29e59bf0f7f8243858b8183f14d4412,3358,"13042,10063,10052,11423,13866,10111"
47e7c5523cbda762a7c00e0c47c41993,20130606000120463,2,Vhk7ZApCP4BWjgk,"MQQBrowser/43 Mozilla/5.0 (iPhone 5ATT; CPU iPhone OS 6_1 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Mobile/10B143 Safari/7534.48.3",14.212.204.*,216,222,1,erdbexb0gI5RgsxfU11_qxMzmw,ff1cdca6dda6054ef6ace9442ace3a20,null,mm_12581624_3138783_11005213,300,250,1,5,0,00fccc64a1ee2809348509b7ac2a97a5,227,0,b2e35064f3549d447edbbdfb1f707c8c,3427,null
d5cd0deb2590303c7a7c25edf8a65be1,20130606000121856,2,Vhk7ZAp2LtzWjGz,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Mobile/9B206",113.72.174.*,216,222,1,trqRTvpogNlyDok4JKTI,d6a3be1d5ed3340b39f825ebac398bcf,null,mm_10032051_2374052_9219530,950,90,1,1,0,23d6dade7ed21cea308205b37594003e,227,0,b2e35064f3549d447edbbdfb1f707c8c,3427,null
47e7c5523cbda762a7c00e0c47c41993,20130606000123750,2,Vhk7ZApCP4BWjgk,"MQQBrowser/43 Mozilla/5.0 (iPhone 5ATT; CPU iPhone OS 6_1 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Mobile/10B143 Safari/7534.48.3",14.212.204.*,216,222,1,erdbexb0gI5RgsxfU11_qxMzmw,ff1cdca6dda6054ef6ace9442ace3a20,null,mm_12581624_3138783_11005213,300,250,1,5,0,00fccc64a1ee2809348509b7ac2a97a5,227,0,b2e35064f3549d447edbbdfb1f707c8c,3427,null
1aa7220db14f9f274a93ca7ab43a3956,20130606000125315,2,Vhk7ZAp6D8a8jmE,"Mozilla/5.0 (Linux; U; Android 4.0.4; zh-cn; GT-I9300 Build/IMM76D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",112.235.185.*,146,154,1,trqRTJkrX9TEwqKbuKz,5c261622a71e16e0721a5e32dabf56b4,null,mm_12378058_2087628_10887095,300,250,0,5,0,d881a6c788e76c2c27ed1ef04f119544,227,0,d29e59bf0f7f8243858b8183f14d4412,3358,null
690e543c46a6cbe8bdd062f53a8ac7a2,20130606000125692,2,Vhk7ZApiDvTVtMn,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),59.60.86.*,124,133,1,3FF-e59aG5s0JmE4JKTIqxM_,5d6a0e40983111ee4209640ef1ae601d,null,mm_33726324_3429225_11100772,300,250,255,1,0,d881a6c788e76c2c27ed1ef04f119544,227,0,d29e59bf0f7f8243858b8183f14d4412,3358,null
1fbb582355c947e12274f0a2f921e2be,20130606000126799,2,Vhk7ZAp2OqM2FZC,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; QQDownload 717),222.48.222.*,106,116,1,trqRTvpogNlyDok4JKTI,8e1ef24c003eb47fd9e59fc35aebe164,null,mm_10032051_2374052_9219530,950,90,1,1,0,23d6dade7ed21cea308205b37594003e,227,0,b2e35064f3549d447edbbdfb1f707c8c,3427,null
aa046b41d2c838d5b7fd201003eee92b,20130606000127046,2,Vh1P1wNqOobIeGl,"Mozilla/5.0 (Linux; U; Android 4.0.4; zh-cn; P860 Build/IMM76D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",124.160.208.*,94,95,1,trqRTvuJX9q7kTKbuKz,afbbb42fa50eb67d3a1ec2823beca41e,null,mm_11226918_3459901_11252208,300,250,1,5,0,d881a6c788e76c2c27ed1ef04f119544,227,0,d29e59bf0f7f8243858b8183f14d4412,3358,"10052,10083,16661,13042,13866,13776,11423,10684,11278,14273,10063,10093,13496,10111"
addd688f0e659c10d82c7765c039996,20130606000127870,2,Vhk7ZAp33TdPXgL,"Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10B329 Safari/8536.25",222.90.130.*,333,334,1,trqRTu9-GTTYFOb4JKn,cba24e9e9c60fd7249554f783fe5c3a8,null,mm_32702357_3318903_10792513,300,250,1,1,0,44966cc8da1ed40c95d59e863c8c75f0,300,0,361e128affece850342293213691a043,3386,null
4369887ef00bd8c95e07ce69e5f76915,20130606000130640,2,VhT1PwFd32aIjmC,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0),59.44.91.*,40,42,3,ersbQv1RdoTy1m58uG,8928879742ae799c89ab7b67896790bf,null,ALLINONE_F_Width1,1000,90,0,0,70,0cd33fcb336655841d3e1441b915748d,254,0,c8758e8658b05bc3a88af7b37bdf0575,3476,"10083,10063,10052,14273,10006,10057,10110"
dd3f77fe9702de5b0282ff27a3d2f7c7,20130606000133380,2,VhdKCAqaDlcsGZa,"Mozilla/5.0 (Linux; U; Android 4.0.4; zh-cn; MOT-XT788 Build/IRPMCT_B_02.64.00RPD) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",222.221.16.*,308,309,1,trqRTvurBTuh1m5b,929f22b9b558ddb899bd86ee78b4dae0,null,mm_10869020_2424426_10057997,300,250,1,5,0,d881a6c788e76c2c27ed1ef04f119544,227,0,d29e59bf0f7f8243858b8183f14d4412,3358,"10063,10052,11379,11092,13866,10083,10684,11423,14273,10111"
9f553612a58d7263dabadef26fb61d90,20130606000136173,2,Vhk7ZApnLQFdFVE,Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; EmbeddedWB 14.52 from: http://www.bsalsa.com/ EmbeddedWB 14.52; .NET CLR 2.0.50727; youxihe.1640; youxihe.1640),42.228.3.*,164,165,1,trqRTJubX5scFsf,1aa18d9ee2d514ea298208cee4115d09,null,mm_14539978_2071324_8620425,300,250,1,1,0,44966cc8da1ed40c95d59e863c8c75f0,300,0,361e128affece850342293213691a043,3386,10063
407a4ee08bab6cab5cddc444edccc26f,20130606000143876,2,VhdiOad3LHzyGsl,"Mozilla/5.0 (iPad; CPU OS 6_1_3 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Mobile/9B176",96.232.126.*,0,0,1,trqRTvuJX9q7kTKbuKz,59d19ebbb575e1a43ea264dde59a246d,null,mm_11226918_3459901_11252208,300,250,1,5,0,d881a6c788e76c2c27ed1ef04f119544,227,0,d29e59bf0f7f8243858b8183f14d4412,3358,"10083,14273,13042,11278,16661,11379,11423,10684,10052,10110"
